,game_code,date,team,side,opp,pos,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,K,HBP,SH,SF,GDP
0,MIA-2014-03-31,2014-03-31,MIA,H,COL,P,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,MIA-2014-04-04,2014-04-04,MIA,H,SDP,P,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2,WSN-2014-04-09,2014-04-09,MIA,A,WSN,P,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0
3,MIA-2014-04-14,2014-04-14,MIA,H,WSN,P,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,NYM-2014-04-26,2014-04-26,MIA,A,NYM,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,NYM-2014-04-27,2014-04-27,MIA,A,NYM,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,MIA-2014-04-30,2014-04-30,MIA,H,ATL,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,MIA-2014-05-03,2014-05-03,MIA,H,LAD,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,MIA-2014-05-05,2014-05-05,MIA,H,NYM,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,SDP-2014-05-09,2014-05-09,MIA,A,SDP,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SDP-2014-05-10,2014-05-10,MIA,A,SDP,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,LAD-2014-05-12,2014-05-12,MIA,A,LAD,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,SFG-2014-05-15,2014-05-15,MIA,A,SFG,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,SFG-2014-05-18,2014-05-18,MIA,A,SFG,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,MIA-2014-05-20,2014-05-20,MIA,H,PHI,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,MIA-2014-05-23,2014-05-23,MIA,H,MIL,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,MIA-2014-07-03,2014-07-03,MIA,H,PHI,P,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0
17,ARI-2014-07-08,2014-07-08,MIA,A,ARI,P,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0
18,NYM-2014-07-13,2014-07-13,MIA,A,NYM,P,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,MIA-2014-07-20,2014-07-20,MIA,H,SFG,P,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,MIA-2014-07-30,2014-07-30,MIA,H,WSN,P,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,PIT-2014-08-05,2014-08-05,MIA,A,PIT,P,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0
22,CIN-2014-08-10,2014-08-10,MIA,A,CIN,P,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
23,MIA-2014-08-15,2014-08-15,MIA,H,ARI,P,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
