,game_id,game_code,date,venue_id,opp_id,home
0,380543,OAK-2014-03-31,2014-03-31,10,114,1
1,380555,OAK-2014-04-01,2014-04-01,10,114,1
2,380566,OAK-2014-04-02,2014-04-02,10,114,1
3,380555,OAK-2014-04-02,2014-04-02,10,114,1
4,380584,OAK-2014-04-03,2014-04-03,10,136,1
5,380600,OAK-2014-04-04,2014-04-04,10,136,1
6,380615,OAK-2014-04-05,2014-04-05,10,136,1
7,380630,OAK-2014-04-06,2014-04-06,10,136,1
8,380639,OAK-2014-04-07,2014-04-07,3312,142,0
9,380666,OAK-2014-04-09,2014-04-09,3312,142,0
10,380678,OAK-2014-04-10,2014-04-10,3312,142,0
11,380690,OAK-2014-04-11,2014-04-11,680,136,0
12,380705,OAK-2014-04-12,2014-04-12,680,136,0
13,380720,OAK-2014-04-13,2014-04-13,680,136,0
14,380728,OAK-2014-04-14,2014-04-14,1,108,0
15,380742,OAK-2014-04-15,2014-04-15,1,108,0
16,380757,OAK-2014-04-16,2014-04-16,1,108,0
17,380781,OAK-2014-04-18,2014-04-18,10,117,1
18,380796,OAK-2014-04-19,2014-04-19,10,117,1
19,380811,OAK-2014-04-20,2014-04-20,10,117,1
20,380832,OAK-2014-04-21,2014-04-21,10,140,1
21,380847,OAK-2014-04-22,2014-04-22,10,140,1
22,380862,OAK-2014-04-23,2014-04-23,10,140,1
23,380870,OAK-2014-04-24,2014-04-24,2392,117,0
24,380883,OAK-2014-04-25,2014-04-25,2392,117,0
25,380898,OAK-2014-04-26,2014-04-26,2392,117,0
26,380913,OAK-2014-04-27,2014-04-27,2392,117,0
27,380923,OAK-2014-04-28,2014-04-28,13,140,0
28,380934,OAK-2014-04-29,2014-04-29,13,140,0
29,380949,OAK-2014-04-30,2014-04-30,13,140,0
30,380970,OAK-2014-05-02,2014-05-02,3,111,0
31,380985,OAK-2014-05-03,2014-05-03,3,111,0
32,381000,OAK-2014-05-04,2014-05-04,3,111,0
33,381016,OAK-2014-05-05,2014-05-05,10,136,1
34,381031,OAK-2014-05-06,2014-05-06,10,136,1
35,381048,OAK-2014-05-07,2014-05-07,10,136,1
36,380600,OAK-2014-05-07,2014-05-07,10,136,1
37,381074,OAK-2014-05-09,2014-05-09,10,120,1
38,381089,OAK-2014-05-10,2014-05-10,10,120,1
39,381104,OAK-2014-05-11,2014-05-11,10,120,1
40,381107,OAK-2014-05-12,2014-05-12,10,145,1
41,381118,OAK-2014-05-13,2014-05-13,10,145,1
42,381133,OAK-2014-05-14,2014-05-14,10,145,1
43,381163,OAK-2014-05-16,2014-05-16,5,114,0
44,381178,OAK-2014-05-17,2014-05-17,5,114,0
45,381193,OAK-2014-05-18,2014-05-18,5,114,0
46,381214,OAK-2014-05-20,2014-05-20,12,139,0
47,381229,OAK-2014-05-21,2014-05-21,12,139,0
48,381241,OAK-2014-05-22,2014-05-22,12,139,0
49,381258,OAK-2014-05-23,2014-05-23,14,141,0
50,381273,OAK-2014-05-24,2014-05-24,14,141,0
51,381288,OAK-2014-05-25,2014-05-25,14,141,0
52,381299,OAK-2014-05-26,2014-05-26,10,116,1
53,381314,OAK-2014-05-27,2014-05-27,10,116,1
54,381329,OAK-2014-05-28,2014-05-28,10,116,1
55,381341,OAK-2014-05-29,2014-05-29,10,116,1
56,381347,OAK-2014-05-30,2014-05-30,10,108,1
57,381362,OAK-2014-05-31,2014-05-31,10,108,1
58,381377,OAK-2014-06-01,2014-06-01,10,108,1
59,381406,OAK-2014-06-03,2014-06-03,3313,147,0
60,381421,OAK-2014-06-04,2014-06-04,3313,147,0
61,381434,OAK-2014-06-05,2014-06-05,3313,147,0
62,381449,OAK-2014-06-06,2014-06-06,2,110,0
63,381464,OAK-2014-06-07,2014-06-07,2,110,0
64,381479,OAK-2014-06-08,2014-06-08,2,110,0
65,381493,OAK-2014-06-09,2014-06-09,1,108,0
66,381507,OAK-2014-06-10,2014-06-10,1,108,0
67,381522,OAK-2014-06-11,2014-06-11,1,108,0
68,381545,OAK-2014-06-13,2014-06-13,10,147,1
69,381560,OAK-2014-06-14,2014-06-14,10,147,1
70,381575,OAK-2014-06-15,2014-06-15,10,147,1
71,381592,OAK-2014-06-16,2014-06-16,10,140,1
72,381606,OAK-2014-06-17,2014-06-17,10,140,1
73,381621,OAK-2014-06-18,2014-06-18,10,140,1
74,381625,OAK-2014-06-19,2014-06-19,10,111,1
75,381636,OAK-2014-06-20,2014-06-20,10,111,1
76,381651,OAK-2014-06-21,2014-06-21,10,111,1
77,381666,OAK-2014-06-22,2014-06-22,10,111,1
78,381701,OAK-2014-06-24,2014-06-24,3289,121,0
79,381716,OAK-2014-06-25,2014-06-25,3289,121,0
80,381741,OAK-2014-06-27,2014-06-27,4169,146,0
81,381756,OAK-2014-06-28,2014-06-28,4169,146,0
82,381771,OAK-2014-06-29,2014-06-29,4169,146,0
83,381782,OAK-2014-06-30,2014-06-30,2394,116,0
84,381795,OAK-2014-07-01,2014-07-01,2394,116,0
85,381810,OAK-2014-07-02,2014-07-02,2394,116,0
86,381824,OAK-2014-07-03,2014-07-03,10,141,1
87,381839,OAK-2014-07-04,2014-07-04,10,141,1
88,381854,OAK-2014-07-05,2014-07-05,10,141,1
89,381869,OAK-2014-07-06,2014-07-06,10,141,1
90,381882,OAK-2014-07-07,2014-07-07,10,137,1
91,381897,OAK-2014-07-08,2014-07-08,10,137,1
92,381908,OAK-2014-07-09,2014-07-09,2395,137,0
93,381921,OAK-2014-07-10,2014-07-10,2395,137,0
94,381935,OAK-2014-07-11,2014-07-11,680,136,0
95,381950,OAK-2014-07-12,2014-07-12,680,136,0
96,381965,OAK-2014-07-13,2014-07-13,680,136,0
97,381972,OAK-2014-07-18,2014-07-18,10,110,1
98,381987,OAK-2014-07-19,2014-07-19,10,110,1
99,382002,OAK-2014-07-20,2014-07-20,10,110,1
100,382034,OAK-2014-07-22,2014-07-22,10,117,1
101,382049,OAK-2014-07-23,2014-07-23,10,117,1
102,382064,OAK-2014-07-24,2014-07-24,10,117,1
103,382079,OAK-2014-07-25,2014-07-25,13,140,0
104,382094,OAK-2014-07-26,2014-07-26,13,140,0
105,382109,OAK-2014-07-27,2014-07-27,13,140,0
106,382119,OAK-2014-07-28,2014-07-28,2392,117,0
107,382133,OAK-2014-07-29,2014-07-29,2392,117,0
108,382148,OAK-2014-07-30,2014-07-30,2392,117,0
109,382171,OAK-2014-08-01,2014-08-01,10,118,1
110,382186,OAK-2014-08-02,2014-08-02,10,118,1
111,382201,OAK-2014-08-03,2014-08-03,10,118,1
112,382215,OAK-2014-08-04,2014-08-04,10,139,1
113,382230,OAK-2014-08-05,2014-08-05,10,139,1
114,382245,OAK-2014-08-06,2014-08-06,10,139,1
115,382257,OAK-2014-08-07,2014-08-07,10,142,1
116,382267,OAK-2014-08-08,2014-08-08,10,142,1
117,382282,OAK-2014-08-09,2014-08-09,10,142,1
118,382297,OAK-2014-08-10,2014-08-10,10,142,1
119,382312,OAK-2014-08-11,2014-08-11,7,118,0
120,382325,OAK-2014-08-12,2014-08-12,7,118,0
121,382339,OAK-2014-08-13,2014-08-13,7,118,0
122,382351,OAK-2014-08-14,2014-08-14,7,118,0
123,382365,OAK-2014-08-15,2014-08-15,16,144,0
124,382380,OAK-2014-08-16,2014-08-16,16,144,0
125,382395,OAK-2014-08-17,2014-08-17,16,144,0
126,382418,OAK-2014-08-19,2014-08-19,10,121,1
127,382433,OAK-2014-08-20,2014-08-20,10,121,1
128,382447,OAK-2014-08-22,2014-08-22,10,108,1
129,382462,OAK-2014-08-23,2014-08-23,10,108,1
130,382477,OAK-2014-08-24,2014-08-24,10,108,1
131,382496,OAK-2014-08-25,2014-08-25,2392,117,0
132,382511,OAK-2014-08-26,2014-08-26,2392,117,0
133,382526,OAK-2014-08-27,2014-08-27,2392,117,0
134,382537,OAK-2014-08-28,2014-08-28,1,108,0
135,382551,OAK-2014-08-29,2014-08-29,1,108,0
136,382566,OAK-2014-08-30,2014-08-30,1,108,0
137,382581,OAK-2014-08-31,2014-08-31,1,108,0
138,382593,OAK-2014-09-01,2014-09-01,10,136,1
139,382607,OAK-2014-09-02,2014-09-02,10,136,1
